date;train;way;station;hour;composition;p1q0;p2q0;p3q0;p0q1;p0q2;p0q3;p0q0
01/07/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.189;0.132;0.096;0.202911376953125
03/07/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.199;0.138;0.096;0.21356201171875
04/07/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.227;0.153;0.11;0.245330810546875
05/07/2019;1;0;AD;06:00:00;2;NA;NA;NA;0.242;0.166;0.115;0.259490966796875
21/05/2019;1;0;AI;06:00:00;2;0.106;0.179;NA;0.243;0.233;0.226;0.2507719046343286
22/05/2019;1;0;AI;06:00:00;2;0.096;0.163;NA;0.234;0.238;0.221;0.2610182727922139
27/05/2019;1;0;AI;06:00:00;2;0.095;0.159;NA;0.235;0.248;0.227;0.2770781894108778
29/05/2019;1;0;AI;06:00:00;2;0.108;0.167;NA;0.212;0.223;0.2;0.2481193267527957
03/06/2019;1;0;AI;06:00:00;2;0.089;0.171333333333333;NA;0.234;0.248;0.221;0.2763468454089808
04/06/2019;1;0;AI;06:00:00;2;0.172;0.163583333333333;NA;0.196;0.206;0.18;0.2328729446963104
06/06/2019;1;0;AI;06:00:00;2;0.164;0.174333333333333;NA;0.214;0.225;0.2;0.2544816950021231
07/06/2019;1;0;AI;06:00:00;2;0.126;0.156;NA;0.198;0.201;0.19;0.2230220776390552
11/06/2019;1;0;AI;06:00:00;2;0.107;0.159;NA;0.228;0.249;0.215;0.281188779926351
12/06/2019;1;0;AI;06:00:00;2;0.103;0.175479166666667;NA;0.214;0.223;0.196;0.2451383270736684
13/06/2019;1;0;AI;06:00:00;2;0.148;0.188;NA;0.234;0.238;0.219;0.2679555585722395
14/06/2019;1;0;AI;06:00:00;2;0.117;0.155;NA;0.205;0.215;0.195;0.240504560194988
17/06/2019;1;0;AI;06:00:00;2;0.092;0.206;NA;0.226;0.241;0.212;0.2677208010059857
18/06/2019;1;0;AI;06:00:00;2;0.189;0.179444444444444;NA;0.236;0.248;0.221;0.2815833801648044
20/06/2019;1;0;AI;06:00:00;2;0.106;0.176;NA;0.229;0.239;0.209;0.2642028645348842
21/06/2019;1;0;AI;06:00:00;2;0.108;0.161;NA;0.209;0.217;0.197;0.2401163624369495
24/06/2019;1;0;AI;06:00:00;2;0.124;0.17;NA;0.201;0.204;0.182;0.2226980020037854
25/06/2019;1;0;AI;06:00:00;2;0.093;0.170479166666667;NA;0.219;0.237;0.203;0.2649859678243351
27/06/2019;1;0;AI;06:00:00;2;0.124;0.193;NA;0.243;0.241;0.228;0.2677043561376038
28/06/2019;1;0;AI;06:00:00;2;0.088;0.161;NA;0.222;0.253;0.201;0.2869800335012922
01/07/2019;1;0;AI;06:00:00;2;0.073;0.179729166666667;NA;0.203;0.219;0.189;0.2419486179323215
03/07/2019;1;0;AI;06:00:00;2;0.13475;0.188;NA;0.216;0.246;0.199;0.2718988425653619
04/07/2019;1;0;AI;06:00:00;2;0.1096;0.176;NA;0.246;0.265;0.227;0.2959989871119726
05/07/2019;1;0;AI;06:00:00;2;0.094;0.171901388888889;NA;0.26;0.256;0.242;0.2779318027720021
21/05/2019;1;0;AJ;06:00:00;2;0.148;0.22;0.189;0.243;0.277;0.233;0.2737
22/05/2019;1;0;AJ;06:00:00;2;0.144;0.1945;0.1655;0.234;0.261;0.238;0.2560000000000003
27/05/2019;1;0;AJ;06:00:00;2;0.136;0.191;0.164;0.235;0.261;0.248;0.2567200000000003
29/05/2019;1;0;AJ;06:00:00;2;0.156;0.207;0.174333333333333;0.212;0.253;0.223;0.25782
03/06/2019;1;0;AJ;06:00:00;2;0.136;0.1965;0.163;0.234;0.27;0.248;0.26905
04/06/2019;1;0;AJ;06:00:00;2;0.204;0.158;0.1788;0.196;0.227;0.206;0.2250200000000001
06/06/2019;1;0;AJ;06:00:00;2;0.196;0.191833333333333;0.1636;0.214;0.256;0.225;0.26307
07/06/2019;1;0;AJ;06:00:00;2;0.163;0.187;0.159;0.198;0.214;0.201;0.2089599999999999
11/06/2019;1;0;AJ;06:00:00;2;0.17;0.18;0.185;0.228;0.281;0.249;0.2930300000000001
12/06/2019;1;0;AJ;06:00:00;2;0.152;0.21025;0.183;0.214;0.235;0.223;0.2432800000000001
13/06/2019;1;0;AJ;06:00:00;2;0.187;0.235;0.213;0.234;0.278;0.238;0.2890800000000001
14/06/2019;1;0;AJ;06:00:00;2;0.161;0.198;0.166;0.205;0.237;0.215;0.2413700000000002
17/06/2019;1;0;AJ;06:00:00;2;0.125;0.258;0.194;0.226;0.287;0.241;0.2988500000000003
18/06/2019;1;0;AJ;06:00:00;2;0.213;0.176;0.1674;0.236;0.28;0.248;0.2784300000000001
20/06/2019;1;0;AJ;06:00:00;2;0.177;0.214;0.191;0.229;0.296;0.239;0.3144200000000002
21/06/2019;1;0;AJ;06:00:00;2;0.171;0.195;0.1661;0.209;0.234;0.217;0.2380500000000001
24/06/2019;1;0;AJ;06:00:00;2;0.151;0.227;0.172;0.201;0.235;0.204;0.2427600000000001
25/06/2019;1;0;AJ;06:00:00;2;0.153;0.1976;0.17;0.219;0.258;0.237;0.2591600000000003
27/06/2019;1;0;AJ;06:00:00;2;0.207;0.188;0.17736;0.243;0.285;0.241;0.28728
28/06/2019;1;0;AJ;06:00:00;2;0.139;0.188;0.166;0.222;0.278;0.253;0.2922500000000001
01/07/2019;1;0;AJ;06:00:00;2;0.125;0.20975;0.157;0.203;0.228;0.219;0.23974
03/07/2019;1;0;AJ;06:00:00;2;0.1542;0.237;0.165;0.216;0.302;0.246;0.3076300000000003
04/07/2019;1;0;AJ;06:00:00;2;0.1624;0.202;0.164;0.246;0.294;0.265;0.2961399999999998
05/07/2019;1;0;AJ;06:00:00;2;0.164;0.20335;0.168;0.26;0.268;0.256;0.2856000000000003
21/05/2019;1;0;AK;06:00:00;2;0.051;0.167;NA;0.243;0.226;0.165;0.260212527456392
22/05/2019;1;0;AK;06:00:00;2;0.044;0.1455;NA;0.234;0.221;0.159;0.2527203823008102
27/05/2019;1;0;AK;06:00:00;2;0.047;0.139;NA;0.235;0.227;0.175;0.2543716374199891
29/05/2019;1;0;AK;06:00:00;2;0.049;0.155;NA;0.212;0.2;0.148;0.2340761934730526
03/06/2019;1;0;AK;06:00:00;2;0.053;0.1455;NA;0.234;0.221;0.169;0.2511692579533005
04/06/2019;1;0;AK;06:00:00;2;0.158;0.1535;NA;0.196;0.18;0.141;0.190472269827125
06/06/2019;1;0;AK;06:00:00;2;0.148;0.140166666666667;NA;0.214;0.2;0.137;0.1934807716218713
07/06/2019;1;0;AK;06:00:00;2;0.054;0.137;NA;0.198;0.19;0.132;0.217886002119324
11/06/2019;1;0;AK;06:00:00;2;0.059;0.144;NA;0.228;0.215;0.161;0.2432407011749624
12/06/2019;1;0;AK;06:00:00;2;0.043;0.153166666666667;NA;0.214;0.196;0.136;0.2337137181767858
13/06/2019;1;0;AK;06:00:00;2;0.073;0.172;NA;0.234;0.219;0.162;0.2460692368426014
14/06/2019;1;0;AK;06:00:00;2;0.047;0.143;NA;0.205;0.195;0.147;0.2279301262236885
17/06/2019;1;0;AK;06:00:00;2;0.043;0.185;NA;0.226;0.212;0.156;0.252135907791372
18/06/2019;1;0;AK;06:00:00;2;0.159;0.144055555555556;NA;0.236;0.221;0.153;0.2051487794870063
20/06/2019;1;0;AK;06:00:00;2;0.048;0.149;NA;0.229;0.209;0.155;0.245988266725611
21/06/2019;1;0;AK;06:00:00;2;0.047;0.148;NA;0.209;0.197;0.154;0.2319853443118409
24/06/2019;1;0;AK;06:00:00;2;0.054;0.154;NA;0.201;0.182;0.134;0.2194218056574797
25/06/2019;1;0;AK;06:00:00;2;0.039;0.159055555555556;NA;0.219;0.203;0.15;0.24269355822643
27/06/2019;1;0;AK;06:00:00;2;0.053;0.18;NA;0.243;0.228;0.163;0.2604881446891327
28/06/2019;1;0;AK;06:00:00;2;0.035;0.136;NA;0.222;0.201;0.143;0.2407928638440168
01/07/2019;1;0;AK;06:00:00;2;0.036;0.153166666666667;NA;0.203;0.189;0.132;0.2280271658007038
03/07/2019;1;0;AK;06:00:00;2;0.0485;0.149;NA;0.216;0.199;0.138;0.2334815361601814
04/07/2019;1;0;AK;06:00:00;2;0.0468;0.14;NA;0.246;0.227;0.153;0.2575077413025195
05/07/2019;1;0;AK;06:00:00;2;0.028;0.145677777777778;NA;0.26;0.242;0.166;0.2786062692652422
21/05/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.165;0.128;0.112;0.227386474609375
22/05/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.159;0.114;0.099;0.222381591796875
27/05/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.175;0.133;0.124;0.237396240234375
29/05/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.148;0.105;0.093;0.208251953125
03/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.169;0.126;0.114;0.231964111328125
04/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.141;0.101;0.088;0.19989013671875
06/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.137;0.095;0.088;0.193450927734375
07/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.132;0.089;0.084;0.18719482421875
11/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.161;0.122;0.106;0.223388671875
12/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.136;0.104;0.097;0.1895751953125
13/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.162;0.113;0.099;0.226654052734375
14/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.147;0.104;0.091;0.20751953125
17/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.156;0.113;0.1;0.217681884765625
18/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.153;0.104;0.096;0.21441650390625
20/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.155;0.108;0.1;0.21600341796875
21/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.154;0.119;0.111;0.211273193359375
24/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.134;0.098;0.084;0.191436767578125
25/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.15;0.114;0.102;0.208648681640625
27/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.163;0.11;0.104;0.226715087890625
28/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.143;0.102;0.093;0.200775146484375
01/07/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.132;0.096;0.088;0.186431884765625
03/07/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.138;0.096;0.084;0.196624755859375
04/07/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.153;0.11;0.098;0.213897705078125
05/07/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.166;0.115;0.107;0.229949951171875
21/05/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.128;0.085;0.112;0.174224853515625
22/05/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.114;0.075;0.099;0.157684326171875
27/05/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.133;0.108;0.124;0.17767333984375
29/05/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.105;0.074;0.093;0.1470947265625
03/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.126;0.094;0.114;0.170166015625
04/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.101;0.072;0.088;0.141632080078125
06/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.095;0.069;0.088;0.13824462890625
07/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.089;0.062;0.084;0.1331787109375
11/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.122;0.086;0.106;0.164398193359375
12/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.104;0.068;0.097;0.1512451171875
13/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.113;0.076;0.099;0.156494140625
14/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.104;0.071;0.091;0.14593505859375
17/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.113;0.086;0.1;0.154083251953125
18/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.104;0.077;0.096;0.1475830078125
20/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.108;0.088;0.1;0.1507568359375
21/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.119;0.095;0.111;0.163116455078125
24/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.098;0.07;0.084;0.1375732421875
25/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.114;0.084;0.102;0.15655517578125
27/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.11;0.085;0.104;0.15496826171875
28/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.102;0.078;0.093;0.14422607421875
01/07/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.096;0.069;0.088;0.138916015625
03/07/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.096;0.06;0.084;0.138885498046875
04/07/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.11;0.085;0.098;0.151153564453125
05/07/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.115;0.087;0.107;0.1597900390625
21/05/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.055;0.085;0.112;0.12835693359375
22/05/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.054;0.075;0.099;0.113677978515625
27/05/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.086;0.108;0.124;0.141143798828125
29/05/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.056;0.074;0.093;0.1063232421875
03/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.069;0.094;0.114;0.130157470703125
04/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.046;0.072;0.088;0.099700927734375
06/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.05;0.069;0.088;0.1004638671875
07/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.047;0.062;0.084;0.0966796875
11/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.063;0.086;0.106;0.121063232421875
12/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.045;0.068;0.097;0.1116943359375
13/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.055;0.076;0.099;0.113525390625
14/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.047;0.071;0.091;0.103607177734375
17/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.062;0.086;0.1;0.113311767578125
18/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.05;0.077;0.096;0.109130859375
20/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.073;0.088;0.1;0.11346435546875
21/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.074;0.095;0.111;0.1263427734375
24/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.044;0.07;0.084;0.094940185546875
25/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.066;0.084;0.102;0.1165771484375
27/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.06;0.085;0.104;0.118499755859375
28/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.049;0.078;0.093;0.1053466796875
01/07/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.037;0.069;0.088;0.099761962890625
03/07/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.039;0.06;0.084;0.09613037109375
04/07/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.061;0.085;0.098;0.11090087890625
05/07/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.065;0.087;0.107;0.12225341796875
21/05/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.04631
22/05/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.0436
27/05/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.0468
29/05/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.0436
03/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.0468
04/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.04631
06/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.0465
07/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.0448
11/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.04631
12/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.0436
13/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.0465
14/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.0448
17/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.0468
18/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.04631
20/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.0465
21/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.0448
24/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.0468
25/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.04631
27/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.0465
28/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.0448
01/07/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.0468
03/07/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.0436
04/07/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.0465
05/07/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;0.0448
21/05/2019;1;0;BB;06:00:00;2;0.175;0.222;NA;0.277;0.277;0.233;0.2725664056132841
22/05/2019;1;0;BB;06:00:00;2;0.165;0.18125;NA;0.261;0.275;0.238;0.2688241016194288
27/05/2019;1;0;BB;06:00:00;2;0.164;0.195;NA;0.261;0.245;0.248;0.2121122472005439
29/05/2019;1;0;BB;06:00:00;2;0.17;0.1908;NA;0.253;0.26;0.223;0.2518399214981048
03/06/2019;1;0;BB;06:00:00;2;0.148;0.187;NA;0.27;0.263;0.248;0.2402884604514039
04/06/2019;1;0;BB;06:00:00;2;0.163;0.199;NA;0.227;0.239;0.206;0.2299772129711288
06/06/2019;1;0;BB;06:00:00;2;0.19;0.1935;NA;0.256;0.26;0.225;0.2505534977992119
07/06/2019;1;0;BB;06:00:00;2;0.171;0.188;NA;0.214;0.222;0.201;0.2050805255667427
11/06/2019;1;0;BB;06:00:00;2;0.191;0.229;NA;0.281;0.278;0.249;0.2725506272515337
12/06/2019;1;0;BB;06:00:00;2;0.161;0.201;NA;0.235;0.242;0.223;0.2272787901571717
13/06/2019;1;0;BB;06:00:00;2;0.18;0.243;NA;0.278;0.281;0.238;0.2788654014399445
14/06/2019;1;0;BB;06:00:00;2;0.171;0.206;NA;0.237;0.246;0.215;0.2367008991604891
17/06/2019;1;0;BB;06:00:00;2;0.149;0.238;NA;0.287;0.284;0.241;0.2833602404720861
18/06/2019;1;0;BB;06:00:00;2;0.193;0.1926;NA;0.28;0.272;0.248;0.2598769523204525
20/06/2019;1;0;BB;06:00:00;2;0.191;0.22;NA;0.296;0.288;0.239;0.2828657201883016
21/06/2019;1;0;BB;06:00:00;2;0.185;0.2008;NA;0.234;0.261;0.217;0.2576216917691871
24/06/2019;1;0;BB;06:00:00;2;0.166;0.187;NA;0.235;0.243;0.204;0.2338803050917737
25/06/2019;1;0;BB;06:00:00;2;0.161;0.182;NA;0.258;0.255;0.237;0.2352134030632375
27/06/2019;1;0;BB;06:00:00;2;0.248;0.1924;NA;0.285;0.292;0.241;0.2798924620073715
28/06/2019;1;0;BB;06:00:00;2;0.15;0.187;NA;0.278;0.289;0.253;0.2834130846073597
01/07/2019;1;0;BB;06:00:00;2;0.145;0.17;NA;0.228;0.226;0.219;0.1926800191431525
03/07/2019;1;0;BB;06:00:00;2;0.1612;0.18;NA;0.302;0.303;0.246;0.3009088917014442
04/07/2019;1;0;BB;06:00:00;2;0.1612;0.179;NA;0.294;0.293;0.265;0.2804402902298539
05/07/2019;1;0;BB;06:00:00;2;0.206;0.172;NA;0.268;0.265;0.256;0.2475488845850337
21/05/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.055;NA;NA;0.0745060156531349
22/05/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.054;NA;NA;0.0735730530597849
27/05/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.086;NA;NA;0.1034278560469833
29/05/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.056;NA;NA;0.0754389782464848
03/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.069;NA;NA;0.0875674919600342
04/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.046;NA;NA;0.0661093523129853
06/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.05;NA;NA;0.0698412026863851
07/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.047;NA;NA;0.0670423149063353
11/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.063;NA;NA;0.0819697163999345
12/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.045;NA;NA;0.0651763897196354
13/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.055;NA;NA;0.0745060156531349
14/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.047;NA;NA;0.0670423149063353
17/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.062;NA;NA;0.0810367538065845
18/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.05;NA;NA;0.0698412026863851
20/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.073;NA;NA;0.091299342333434
21/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.074;NA;NA;0.0922323049267839
24/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.044;NA;NA;0.0642434271262854
25/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.066;NA;NA;0.0847686041799843
27/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.06;NA;NA;0.0791708286198846
28/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.049;NA;NA;0.0689082400930352
01/07/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.037;NA;NA;0.0577126889728358
03/07/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.039;NA;NA;0.0595786141595357
04/07/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.061;NA;NA;0.0801037912132346
05/07/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.065;NA;NA;0.0838356415866344
21/05/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.055;0.085;NA;0.0991576870030993
22/05/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.054;0.075;NA;0.0979214224211697
27/05/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.086;0.108;NA;0.137481889042919
29/05/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.056;0.074;NA;0.100393951585029
03/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.069;0.094;NA;0.1164653911501147
04/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.046;0.072;NA;0.0880313057657323
06/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.05;0.069;NA;0.092976364093451
07/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.047;0.062;NA;0.089267570347662
11/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.063;0.086;NA;0.1090478036585367
12/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.045;0.068;NA;0.0867950411838027
13/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.055;0.076;NA;0.0991576870030993
14/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.047;0.071;NA;0.089267570347662
17/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.062;0.086;NA;0.107811539076607
18/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.05;0.077;NA;0.092976364093451
20/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.073;0.088;NA;0.1214104494778333
21/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.074;0.095;NA;0.122646714059763
24/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.044;0.07;NA;0.085558776601873
25/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.066;0.084;NA;0.1127565974043257
27/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.06;0.085;NA;0.1053390099127477
28/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.049;0.078;NA;0.0917400995115213
01/07/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.037;0.069;NA;0.0769049245283653
03/07/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.039;0.06;NA;0.0793774536922247
04/07/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.061;0.085;NA;0.1065752744946773
05/07/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.065;0.087;NA;0.111520332822396
22/05/2019;10;0;AD;08:00:00;2;0.53;0.414;0.443;0.383;0.252;0.21;0.4227600000000001
23/05/2019;10;0;AD;09:00:00;2;0.407;0.423;0.315;0.267;0.224;0.196;0.23965
27/05/2019;10;0;AD;08:00:00;2;0.406;0.407;0.37775;0.354;0.225;0.157;0.3725099999999998
29/05/2019;10;0;AD;09:00:00;2;0.358;0.37;0.272;0.313;0.21;0.133;0.3293899999999998
03/06/2019;10;0;AD;09:00:00;2;0.45175;0.399;0.323;0.288;0.201;0.157;0.30324
