date;train;way;station;hour;composition;p1q0;p2q0;p3q0;p0q1;p0q2;p0q3;day
07/06/2019;1;0;AI;06:00:00;2;0.126;0.156;NA;0.198;0.201;0.19;Monday
11/06/2019;1;0;AI;06:00:00;2;0.107;0.159;NA;0.228;0.249;0.215;Wednesday
12/06/2019;1;0;AI;06:00:00;2;0.103;0.175479166666667;NA;0.214;0.223;0.196;Friday
13/06/2019;1;0;AI;06:00:00;2;0.148;0.188;NA;0.234;0.238;0.219;Monday
14/06/2019;1;0;AI;06:00:00;2;0.117;0.155;NA;0.205;0.215;0.195;Tuesday
17/06/2019;1;0;AI;06:00:00;2;0.092;0.206;NA;0.226;0.241;0.212;Wednesday
18/06/2019;1;0;AI;06:00:00;2;0.189;0.179444444444444;NA;0.236;0.248;0.221;Thursday
20/06/2019;1;0;AI;06:00:00;2;0.106;0.176;NA;0.229;0.239;0.209;Friday
21/06/2019;1;0;AI;06:00:00;2;0.108;0.161;NA;0.209;0.217;0.197;Monday
24/06/2019;1;0;AI;06:00:00;2;0.124;0.17;NA;0.201;0.204;0.182;Tuesday
25/06/2019;1;0;AI;06:00:00;2;0.093;0.170479166666667;NA;0.219;0.237;0.203;Thursday
27/06/2019;1;0;AI;06:00:00;2;0.124;0.193;NA;0.243;0.241;0.228;Friday
28/06/2019;1;0;AI;06:00:00;2;0.088;0.161;NA;0.222;0.253;0.201;Monday
01/07/2019;1;0;AI;06:00:00;2;0.073;0.179729166666667;NA;0.203;0.219;0.189;Tuesday
03/07/2019;1;0;AI;06:00:00;2;0.13475;0.188;NA;0.216;0.246;0.199;Wednesday
04/07/2019;1;0;AI;06:00:00;2;0.1096;0.176;NA;0.246;0.265;0.227;Thursday
05/07/2019;1;0;AI;06:00:00;2;0.094;0.171901388888889;NA;0.26;0.256;0.242;Friday
21/05/2019;1;0;AJ;06:00:00;2;0.148;0.22;0.189;0.243;0.277;0.233;Monday
22/05/2019;1;0;AJ;06:00:00;2;0.144;0.1945;0.1655;0.234;0.261;0.238;Thursday
27/05/2019;1;0;AJ;06:00:00;2;0.136;0.191;0.164;0.235;0.261;0.248;Friday
29/05/2019;1;0;AJ;06:00:00;2;0.156;0.207;0.174333333333333;0.212;0.253;0.223;Monday
03/06/2019;1;0;AJ;06:00:00;2;0.136;0.1965;0.163;0.234;0.27;0.248;Tuesday
04/06/2019;1;0;AJ;06:00:00;2;0.204;0.158;0.1788;0.196;0.227;0.206;Friday
06/06/2019;1;0;AJ;06:00:00;2;0.196;0.191833333333333;0.1636;0.214;0.256;0.225;Tuesday
07/06/2019;1;0;AJ;06:00:00;2;0.163;0.187;0.159;0.198;0.214;0.201;Wednesday
11/06/2019;1;0;AJ;06:00:00;2;0.17;0.18;0.185;0.228;0.281;0.249;Thursday
12/06/2019;1;0;AJ;06:00:00;2;0.152;0.21025;0.183;0.214;0.235;0.223;Monday
13/06/2019;1;0;AJ;06:00:00;2;0.187;0.235;0.213;0.234;0.278;0.238;Monday
14/06/2019;1;0;AJ;06:00:00;2;0.161;0.198;0.166;0.205;0.237;0.215;Tuesday
17/06/2019;1;0;AJ;06:00:00;2;0.125;0.258;0.194;0.226;0.287;0.241;Thursday
18/06/2019;1;0;AJ;06:00:00;2;0.213;0.176;0.1674;0.236;0.28;0.248;Tuesday
20/06/2019;1;0;AJ;06:00:00;2;0.177;0.214;0.191;0.229;0.296;0.239;Wednesday
21/06/2019;1;0;AJ;06:00:00;2;0.171;0.195;0.1661;0.209;0.234;0.217;Friday
24/06/2019;1;0;AJ;06:00:00;2;0.151;0.227;0.172;0.201;0.235;0.204;Monday
25/06/2019;1;0;AJ;06:00:00;2;0.153;0.1976;0.17;0.219;0.258;0.237;Tuesday
27/06/2019;1;0;AJ;06:00:00;2;0.207;0.188;0.17736;0.243;0.285;0.241;Wednesday
28/06/2019;1;0;AJ;06:00:00;2;0.139;0.188;0.166;0.222;0.278;0.253;Thursday
01/07/2019;1;0;AJ;06:00:00;2;0.125;0.20975;0.157;0.203;0.228;0.219;Friday
03/07/2019;1;0;AJ;06:00:00;2;0.1542;0.237;0.165;0.216;0.302;0.246;Monday
04/07/2019;1;0;AJ;06:00:00;2;0.1624;0.202;0.164;0.246;0.294;0.265;Tuesday
05/07/2019;1;0;AJ;06:00:00;2;0.164;0.20335;0.168;0.26;0.268;0.256;Monday
21/05/2019;1;0;AK;06:00:00;2;0.051;0.167;NA;0.243;0.226;0.165;Tuesday
22/05/2019;1;0;AK;06:00:00;2;0.044;0.1455;NA;0.234;0.221;0.159;Wednesday
27/05/2019;1;0;AK;06:00:00;2;0.047;0.139;NA;0.235;0.227;0.175;Thursday
29/05/2019;1;0;AK;06:00:00;2;0.049;0.155;NA;0.212;0.2;0.148;Friday
03/06/2019;1;0;AK;06:00:00;2;0.053;0.1455;NA;0.234;0.221;0.169;Monday
04/06/2019;1;0;AK;06:00:00;2;0.158;0.1535;NA;0.196;0.18;0.141;Tuesday
06/06/2019;1;0;AK;06:00:00;2;0.148;0.140166666666667;NA;0.214;0.2;0.137;Wednesday
07/06/2019;1;0;AK;06:00:00;2;0.054;0.137;NA;0.198;0.19;0.132;Thursday
11/06/2019;1;0;AK;06:00:00;2;0.059;0.144;NA;0.228;0.215;0.161;Friday
12/06/2019;1;0;AK;06:00:00;2;0.043;0.153166666666667;NA;0.214;0.196;0.136;Monday
13/06/2019;1;0;AK;06:00:00;2;0.073;0.172;NA;0.234;0.219;0.162;Tuesday
14/06/2019;1;0;AK;06:00:00;2;0.047;0.143;NA;0.205;0.195;0.147;Wednesday
17/06/2019;1;0;AK;06:00:00;2;0.043;0.185;NA;0.226;0.212;0.156;Thursday
18/06/2019;1;0;AK;06:00:00;2;0.159;0.144055555555556;NA;0.236;0.221;0.153;Friday
20/06/2019;1;0;AK;06:00:00;2;0.048;0.149;NA;0.229;0.209;0.155;Monday
21/06/2019;1;0;AK;06:00:00;2;0.047;0.148;NA;0.209;0.197;0.154;Tuesday
24/06/2019;1;0;AK;06:00:00;2;0.054;0.154;NA;0.201;0.182;0.134;Thursday
25/06/2019;1;0;AK;06:00:00;2;0.039;0.159055555555556;NA;0.219;0.203;0.15;Friday
27/06/2019;1;0;AK;06:00:00;2;0.053;0.18;NA;0.243;0.228;0.163;Tuesday
28/06/2019;1;0;AK;06:00:00;2;0.035;0.136;NA;0.222;0.201;0.143;Wednesday
01/07/2019;1;0;AK;06:00:00;2;0.036;0.153166666666667;NA;0.203;0.189;0.132;Monday
03/07/2019;1;0;AK;06:00:00;2;0.0485;0.149;NA;0.216;0.199;0.138;Tuesday
04/07/2019;1;0;AK;06:00:00;2;0.0468;0.14;NA;0.246;0.227;0.153;Wednesday
05/07/2019;1;0;AK;06:00:00;2;0.028;0.145677777777778;NA;0.26;0.242;0.166;Thursday
21/05/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.165;0.128;0.112;Friday
22/05/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.159;0.114;0.099;Monday
27/05/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.175;0.133;0.124;Wednesday
29/05/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.148;0.105;0.093;Thursday
03/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.169;0.126;0.114;Friday
04/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.141;0.101;0.088;Tuesday
06/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.137;0.095;0.088;Wednesday
07/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.132;0.089;0.084;Thursday
11/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.161;0.122;0.106;Friday
12/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.136;0.104;0.097;Monday
13/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.162;0.113;0.099;Monday
14/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.147;0.104;0.091;Tuesday
17/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.156;0.113;0.1;Thursday
18/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.153;0.104;0.096;Wednesday
20/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.155;0.108;0.1;Monday
21/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.154;0.119;0.111;Monday
24/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.134;0.098;0.084;Tuesday
25/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.15;0.114;0.102;Wednesday
27/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.163;0.11;0.104;Thursday
28/06/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.143;0.102;0.093;Friday
01/07/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.132;0.096;0.088;Monday
03/07/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.138;0.096;0.084;Tuesday
04/07/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.153;0.11;0.098;Wednesday
05/07/2019;1;0;AM;06:00:00;2;NA;NA;NA;0.166;0.115;0.107;Thursday
21/05/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.128;0.085;0.112;Friday
22/05/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.114;0.075;0.099;Monday
27/05/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.133;0.108;0.124;Tuesday
29/05/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.105;0.074;0.093;Wednesday
03/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.126;0.094;0.114;Thursday
04/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.101;0.072;0.088;Friday
06/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.095;0.069;0.088;Monday
07/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.089;0.062;0.084;Tuesday
11/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.122;0.086;0.106;Thursday
12/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.104;0.068;0.097;Friday
13/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.113;0.076;0.099;Tuesday
14/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.104;0.071;0.091;Wednesday
17/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.113;0.086;0.1;Thursday
18/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.104;0.077;0.096;Friday
20/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.108;0.088;0.1;Monday
21/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.119;0.095;0.111;Wednesday
24/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.098;0.07;0.084;Friday
25/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.114;0.084;0.102;Monday
27/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.11;0.085;0.104;Tuesday
28/06/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.102;0.078;0.093;Wednesday
01/07/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.096;0.069;0.088;Friday
03/07/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.096;0.06;0.084;Monday
04/07/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.11;0.085;0.098;Tuesday
05/07/2019;1;0;AT;06:00:00;2;NA;NA;NA;0.115;0.087;0.107;Wednesday
21/05/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.055;0.085;0.112;Thursday
22/05/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.054;0.075;0.099;Friday
27/05/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.086;0.108;0.124;Monday
29/05/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.056;0.074;0.093;Tuesday
03/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.069;0.094;0.114;Wednesday
04/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.046;0.072;0.088;Friday
06/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.05;0.069;0.088;Tuesday
07/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.047;0.062;0.084;Wednesday
11/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.063;0.086;0.106;Thursday
12/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.045;0.068;0.097;Friday
13/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.055;0.076;0.099;Monday
14/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.047;0.071;0.091;Tuesday
17/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.062;0.086;0.1;Thursday
18/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.05;0.077;0.096;Monday
20/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.073;0.088;0.1;Tuesday
21/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.074;0.095;0.111;Wednesday
24/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.044;0.07;0.084;Thursday
25/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.066;0.084;0.102;Friday
27/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.06;0.085;0.104;Tuesday
28/06/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.049;0.078;0.093;Thursday
01/07/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.037;0.069;0.088;Friday
03/07/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.039;0.06;0.084;Monday
04/07/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.061;0.085;0.098;Tuesday
05/07/2019;1;0;AW;06:00:00;2;NA;NA;NA;0.065;0.087;0.107;Thursday
21/05/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Friday
22/05/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Monday
27/05/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Tuesday
29/05/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Wednesday
03/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Thursday
04/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Monday
06/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Wednesday
07/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Wednesday
11/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Monday
12/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Tuesday
13/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Thursday
14/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Friday
17/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Monday
18/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Tuesday
20/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Thursday
21/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Friday
24/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Monday
25/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Thursday
27/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Friday
28/06/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Monday
01/07/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Tuesday
03/07/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Thursday
04/07/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Friday
05/07/2019;1;0;AX;NA;2;NA;NA;NA;NA;NA;NA;Monday
21/05/2019;1;0;BB;06:00:00;2;0.175;0.222;NA;0.277;0.277;0.233;Wednesday
22/05/2019;1;0;BB;06:00:00;2;0.165;0.18125;NA;0.261;0.275;0.238;Friday
27/05/2019;1;0;BB;06:00:00;2;0.164;0.195;NA;0.261;0.245;0.248;Tuesday
29/05/2019;1;0;BB;06:00:00;2;0.17;0.1908;NA;0.253;0.26;0.223;Wednesday
03/06/2019;1;0;BB;06:00:00;2;0.148;0.187;NA;0.27;0.263;0.248;Thursday
04/06/2019;1;0;BB;06:00:00;2;0.163;0.199;NA;0.227;0.239;0.206;Tuesday
06/06/2019;1;0;BB;06:00:00;2;0.19;0.1935;NA;0.256;0.26;0.225;Wednesday
07/06/2019;1;0;BB;06:00:00;2;0.171;0.188;NA;0.214;0.222;0.201;Thursday
11/06/2019;1;0;BB;06:00:00;2;0.191;0.229;NA;0.281;0.278;0.249;Friday
12/06/2019;1;0;BB;06:00:00;2;0.161;0.201;NA;0.235;0.242;0.223;Monday
13/06/2019;1;0;BB;06:00:00;2;0.18;0.243;NA;0.278;0.281;0.238;Tuesday
14/06/2019;1;0;BB;06:00:00;2;0.171;0.206;NA;0.237;0.246;0.215;Friday
17/06/2019;1;0;BB;06:00:00;2;0.149;0.238;NA;0.287;0.284;0.241;Monday
18/06/2019;1;0;BB;06:00:00;2;0.193;0.1926;NA;0.28;0.272;0.248;Tuesday
20/06/2019;1;0;BB;06:00:00;2;0.191;0.22;NA;0.296;0.288;0.239;Wednesday
21/06/2019;1;0;BB;06:00:00;2;0.185;0.2008;NA;0.234;0.261;0.217;Friday
24/06/2019;1;0;BB;06:00:00;2;0.166;0.187;NA;0.235;0.243;0.204;Tuesday
25/06/2019;1;0;BB;06:00:00;2;0.161;0.182;NA;0.258;0.255;0.237;Wednesday
27/06/2019;1;0;BB;06:00:00;2;0.248;0.1924;NA;0.285;0.292;0.241;Thursday
28/06/2019;1;0;BB;06:00:00;2;0.15;0.187;NA;0.278;0.289;0.253;Friday
01/07/2019;1;0;BB;06:00:00;2;0.145;0.17;NA;0.228;0.226;0.219;Monday
03/07/2019;1;0;BB;06:00:00;2;0.1612;0.18;NA;0.302;0.303;0.246;Tuesday
04/07/2019;1;0;BB;06:00:00;2;0.1612;0.179;NA;0.294;0.293;0.265;Thursday
05/07/2019;1;0;BB;06:00:00;2;0.206;0.172;NA;0.268;0.265;0.256;Friday
21/05/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.055;NA;NA;Monday
22/05/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.054;NA;NA;Tuesday
27/05/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.086;NA;NA;Wednesday
29/05/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.056;NA;NA;Thursday
03/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.069;NA;NA;Friday
04/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.046;NA;NA;Monday
06/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.05;NA;NA;Thursday
07/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.047;NA;NA;Friday
11/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.063;NA;NA;Monday
12/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.045;NA;NA;Tuesday
13/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.055;NA;NA;Thursday
14/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.047;NA;NA;Friday
17/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.062;NA;NA;Monday
18/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.05;NA;NA;Tuesday
20/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.073;NA;NA;Wednesday
21/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.074;NA;NA;Thursday
24/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.044;NA;NA;Monday
25/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.066;NA;NA;Thursday
27/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.06;NA;NA;Wednesday
28/06/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.049;NA;NA;
01/07/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.037;NA;NA;
03/07/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.039;NA;NA;
04/07/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.061;NA;NA;
05/07/2019;1;0;BD;06:00:00;2;NA;NA;NA;0.065;NA;NA;
21/05/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.055;0.085;NA;
22/05/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.054;0.075;NA;
27/05/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.086;0.108;NA;
29/05/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.056;0.074;NA;
03/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.069;0.094;NA;
04/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.046;0.072;NA;
06/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.05;0.069;NA;
07/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.047;0.062;NA;
11/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.063;0.086;NA;
12/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.045;0.068;NA;
13/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.055;0.076;NA;
14/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.047;0.071;NA;
17/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.062;0.086;NA;
18/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.05;0.077;NA;
20/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.073;0.088;NA;
21/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.074;0.095;NA;
24/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.044;0.07;NA;
25/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.066;0.084;NA;
27/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.06;0.085;NA;
28/06/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.049;0.078;NA;
01/07/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.037;0.069;NA;
03/07/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.039;0.06;NA;
04/07/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.061;0.085;NA;
05/07/2019;1;0;BE;06:00:00;2;NA;NA;NA;0.065;0.087;NA;
22/05/2019;10;0;AD;08:00:00;2;0.53;0.414;0.443;0.383;0.252;0.21;
23/05/2019;10;0;AD;09:00:00;2;0.407;0.423;0.315;0.267;0.224;0.196;
27/05/2019;10;0;AD;08:00:00;2;0.406;0.407;0.37775;0.354;0.225;0.157;
29/05/2019;10;0;AD;09:00:00;2;0.358;0.37;0.272;0.313;0.21;0.133;
03/06/2019;10;0;AD;09:00:00;2;0.45175;0.399;0.323;0.288;0.201;0.157;
04/06/2019;10;0;AD;08:00:00;2;0.4432;0.498;0.3794375;0.229;0.15;0.11;
06/06/2019;10;0;AD;08:00:00;2;0.51;0.401;0.406;0.281;0.183;0.137;
07/06/2019;10;0;AD;08:00:00;2;0.44524;0.344;0.35;0.291;0.191;0.138;
13/06/2019;10;0;AD;08:00:00;2;0.403;0.438;0.392;0.284;0.195;0.138;
14/06/2019;10;0;AD;08:00:00;2;0.392;0.394;0.369;0.258;0.177;0.133;
17/06/2019;10;0;AD;08:00:00;2;0.403;0.425;0.3929375;0.248;0.178;0.142;
18/06/2019;10;0;AD;09:00:00;2;0.521;0.476;0.384;0.381;0.257;0.151;
19/06/2019;10;0;AD;08:00:00;2;0.387;0.4088;0.317;0.27;0.197;0.138;
20/06/2019;10;0;AD;08:00:00;2;0.345;0.432;0.343;0.291;0.198;0.137;
21/06/2019;10;0;AD;08:00:00;2;0.349;0.334;0.349;0.271;0.196;0.138;
24/06/2019;10;0;AD;09:00:00;2;0.361;0.437;0.403;0.246;0.171;0.119;
25/06/2019;10;0;AD;08:00:00;2;0.407;0.362;0.3980375;0.253;0.174;0.133;
26/06/2019;10;0;AD;08:00:00;2;0.368;0.396;0.281;0.234;0.155;0.111;
27/06/2019;10;0;AD;09:00:00;2;0.484;0.355;0.367;0.301;0.203;0.144;
28/06/2019;10;0;AD;08:00:00;2;0.371;0.452;0.331;0.251;0.179;0.126;
01/07/2019;10;0;AD;08:00:00;2;0.376;0.427;0.3890875;0.3;0.194;0.139;
02/07/2019;10;0;AD;08:00:00;2;0.427;0.401;0.338;0.273;0.178;0.132;
03/07/2019;10;0;AD;08:00:00;2;0.395;0.286;0.3936875;0.274;0.184;0.142;
04/07/2019;10;0;AD;08:00:00;2;0.412;0.418;0.346;0.298;0.201;0.132;
05/07/2019;10;0;AD;08:00:00;2;0.364;0.371;0.313;0.328;0.21;0.156;
28/05/2019;10;0;AD;08:00:00;2;0.445;0.405;0.409;0.421;0.291;0.235;
